bonsoir à tous bienvenue c' est bfm story en direct jusqu' à dix neuf heures à la une	à tous bienvenue c' est bfm story en direct jusqu' à dix neuf heures	_
claude vous voulez me parler de	on voulait me parler de de	_
de peillon		_
de la mission de peillon à l' éducation nationale	la mission de peillon à l' éducation nationale	_
(n) il a mis la barre très très haut en employant des un vocabulaire en parlant de refondation de l' école on n' est plus dans la réforme vincent peillon a en effet l' idée	il a mis la barre très très hauts en employant des un vocabulaire en parlant de refondation d' école on est plus dans la réforme vincent peillon en effet l' idée	_
que il faut sortir des des des bricolages comme vous savez tous les ministres de l' éducation nationale depuis des décennies	il faut sortir des des des bricolage comme vous le savez tous les ministres de l' education nationale depuis des décennies	_
ont voulu marquer leur empreinte en faisant la réforme et cetera chacun s' est attaché même s' est attelé à un petit bout de la machine lui veut refonder l' ensemble du truc	voulu marquer leur empreinte en faisant la réforme etc chacun sait tatati même sa télé un petit bout de la machine lui veut refonder l' ensemble de le truc	_
dans une dans une philosophie	une dans une philosophie	_
qui est qui qui se veut un je dirais un compromis entre l' école traditionnelle telle que l' a incarnée par exemple jean pierre chevènement et puis les les expérimentateurs c' est à dire il se il veut véritablement refonder la philosophie même de l' école	est qui qui se veut un je dirais un compromis entre l' ecole traditionnels tels que l' a incarné par exemple jean pierre chevènement et puis les les expérimente à terre c' est à dire il s' il veut aux véritablement refonder la philosophie même de l' école	_
sur les bases que vous connaissez le le le le le le savoir l' égalité des chances et cetera	les bases que vous connaissez le de le savoir l' égalité des chances etc	_
pour le moment	pour le moment	_
ça donne l' impression d' un chantier on on on voit pas de traduction très concrète mais il y a une inspiration moi je trouve qu' il y a une inspiration dans cette politique et après on jugera sur les résultats	donne l' impression d' un chantier on on voit pas de traduction très concrètes mais il y a une inspiration moi je trouve qu' il y a une inspiration dans cette politique et après on jugera sur les résultats	_
est ce qu' il y a une inspiration dans cette politique guillaume	qu' il y a une inspiration cette politique guillaumot	_
il y a sûrement une inspiration il y a une il y a une ambition qui est réelle une volonté d' y arriver je vous incite à aller sur le site de l' éducation nationale où il y a un un une chaîne qui s' appelle refonda(tion) refondation de l' école ou refonder l' école qui est très bien faite je crois que la bonne volonté de peillon n' est pas en cause	y a sûrement une inspiration il y a il y a une ambition qui réels une volonté d' y arriver je vous incite à aller sur le site de l' éducation nationale où il y a un une chaîne qui s' appelle au refonder refondation de l' école ou refonder l' école qui est très bien fait je crois que la bonne volonté de peillon n' est pas en cause	_
comme je crois la volonté par exemple de françois hollande de réformer la fiscalité en fusionnant tous les impôts n' était pas en cause non plus et ça a abouti sur quoi ça a débouché sur quoi pardon sur rien moi je pense que le fond du problème c' est que avec toute l' énergie la bonne volonté	je crois la volonté par exemple de françois hollande de réformer la fiscalité en fusionnant tous les impôts n' était pas en cause non plus et ça a abouti sur quoi ça a débouché sur quoi pardon sur rien moi je pense que le fond du problème c' est que avec toute l' énergie la bonne volonté	_
la culture et la compétence de peillon	culture et la compétence de payant	_
il est dans un système absolument considérable et la la seule façon de le faire un peu évoluer c' est de partir de la base or la base elle est tenue par les syndicats et donc je pense que cette réforme j' en fais le pari j' ai vraiment j' espère me tromper dans six mois elle aura	est dans un système absolument considérables et la la seule façon de le faire un peu évolué cette partir de là bas or là bas elle est tenu par les syndicats et donc je pense que cette réforme j' en fais le pari j' ai vraiment j' espère me tromper dans six mois elle aura	_
elle sera partie dans les sables comme d' autres avant elle	sera parti dont les sable comme d' autres avant elle	_
(h) ce sera terrible parce que un intime de vincent peillon se se confie dans le point il est habité par ce poste il s' y consacre à deux cents pour cent s' il rate il mourra de honte	ce sera terrible parce que un intime de vincent peillon se se confie dans le point il est habité par ce poste il s' y consacre à deux cent pour cent s' il rate il mourra de honte	_
il y a une autre chose c' est que je trouve que les signaux envoyés jusqu' à présent par vincent peillon sont sont contradictoires avec cette cette volonté de réforme on a l' impression que là c' est plutôt du laisser aller romain a parlé des vacances effectivement c' est assez spectaculaire il commence par allonger les vacances	y a une autre chose c' est que je trouve que les signaux envoyés jusqu' à présent par vincent peillon sont sont contradictoires avec cette cette volonté de réformes on a l' impression que là c' est plutôt du laisser aller romain à parler des vacances effectivement c' est assez spectaculaire qui commence pas allonger les vacances	_
en ayant dit auparavant que le rythme scolaire n' était pas bon on nous explique qu' il faut supprimer les notes parce que ça traumatise les chers petits on on on a là une une une logique qui n' apparaît vraiment pas très claire c' est pour ça à mon avis pour que ce cette histoire de cannabis	ayant dit auparavant que le rythme scolaire n' était pas bon on nous explique qu' il faut supprimer les notes parce que ça traumatisme des chers petits on on on a la une une une logique qui n' apparaît vraiment pas très clair c' est pour ça à mon avis pour que ce cette histoire de cannabis	_
ça ne fait que brouiller encore un peu plus une une mission qui pourtant était était éminemment estimable en elle même	ne fait que brouiller encore un peu plus une une mission qui pourtant était était éminemment hein estimable en elle même	_
romain	<unk>	_
c' est une mission effectivement récurrente de depuis vingt ans tous les ministres de l' éducation ont des grands projets et le problème c' est c' est effectivement ça on peut pas dire c' est le chantier numéro un	est une mission effectivement récurrentes de depuis vingt ans tous les ministres de l' éducation des grands projets le problème c' est c' est effectivement ça on peut pas dire c' est le chantier numéro un	_
du du gouvernement (n) c' est quand même ce ce que ce qu' a dit françois hollande pendant la campagne notamment et et on le on le sent dans cette société française en crise et cetera l' école	du gouvernement c' est quand même c' est ce qu' est ce qu' a dit françois hollande pendant la campagne notamment et et on le on le sent dans cette société française en crise etc l' école	_
c' est c' est quand même ce qui ce qu' il y a de plus beau comme pour faire le lien social et on voit que les chantiers sont très administratifs c' est à dire on oui alors le mercredi matin mais c' est pas ça l' école l' école c' est c' est c' est c' est les inégalités françaises qui se manifestent enfin	c' est c' est quand même ce qui ce qui a de plus beau eux comme pour faire le lien social et on voit que les chantiers sont très administrative c' est à dire oui alors le mercredi matin mais c' est pas ça l' école l' école c' est c' est c' est c' est les inégalités français qui se manifeste enfin	_
on on on s' est on on on le voit il y a des études extrêmement poussées qui montrent	on on on sait on le voit il y a des études extrêmement poussé qui montre	_
le le que qu' en qu' en vingt ans le le problème c' est pas la baisse de niveau c' est pas c' est pas ça les enfants ont évolué la façon d' enseigner aussi la le le problème c' est l' inégalité elle est encore plus spectaculaire que dans les niveaux de vie c' est à dire qu' aujourd' hui suivant que là où vous vivez	le que quand quand vingt ans le le problème c' est pas la baisse de niveau c' est pas c' est pas ça les enfants évoluer les la façon d' enseigner aussi la le le problème c' est l' inégalité elle est encore plus spectaculaire que dans les niveaux de vie c' est à dire qu' aujourd' hui suivants que là où vous pouvez vous	_
vous n' avez pas le même service public et vous êtes dans u(ne) dans des écoles à à trois niveaux c' est à dire que il y a des niveaux d' excellence parce que il y a évidemment des z() des pôles d' enseignement d' excellence de dans dans le primaire dans le secondaire mais il y a aussi et c' est p() les	n' avez pas le même service public et vous êtes dans une dans des écoles à à trois niveaux c' est à dire que il y a des niveaux d' excellence parce que il y a évidemment des des pôles d' enseignement d' excellence de dans dans le primaire dans le secondaire mais il y a aussi s et p les	_
les efforts ils doivent être recentrés là où il y a des vérit(ables) 	efforts ils doivent être recentré là où il y a des vertus	_
(mer)credi matin finalement les enfants vont aller à l' école (h) (n) les devoirs on va faire une demie heure chaque enseignant va devoir consacrer une demie heure de son temps à trente élèves pour faire leurs devoirs mais qui peut imaginer que ce soit raisonnable	matin finalement les enfants voient aller à l' école hein ben les devoirs on va faire une demi heure chaque enseignant va devoir consacrer une demi heure de son temps à trente élèves pour faire leurs devoirs mais qui peut imaginer que ce soit raisonnable	_
bon		_
les syndicats hurlent les syndicats de parents hurlent et évidemment ça peut pas marcher c' est c' est c' est très généreux de dire on va aider les enfants à faire leurs devoirs mais c' est pas ça qu' il faut faire	syndicats hurlent les syndicats de parents hurlent et évidemment ça peut pas marcher c' est c' est c' est très généreux de dire on va aider les enfants faire leurs devoirs mais c' est pas ça qu' il faut faire	_
laurent	roux	_
que vous me faites penser vous me faites penser aux journalistes sportifs de la la semaine dernière avant le match f(rance) espagne france de football c' est à dire que je on pouvait pas ouvrir un journal allumer une télévision sans nous expliquer que l' équipe de france allait être laminée explosée par la grande équipe d' espagne	vous me fait penser vous me fait penser au journaliste sportif chef de la s la semaine dernière avant le match espagne france de football c' est à dire que je on pouvait pas ouvrir un journal allumer une télévision sur nous expliquer que l' équipe de france allait laminé exploser par la grande équipe d' espagne	_
et puis on a vu le résultat vous faites exactement pareil avec vincent peillon c' est à dire que guillaume roquette a commencé à le couvrir d' éloges vous avez commencé par dire qu' il était compétent animé de bonne volonté qu' il s' était préparé qu' il avait de bonnes idées et cetera mais malheureusement vous verrez à la fin	puis on a vu le résultat que vous faites exactement pareil avec vincent peillon c' est à dire que guillaume roquette a commencé à le couvrir d' éloges vous avez commencé par dire qu' il était compétent animés de bonne volonté qui s' était préparé qu' ils avaient de bonnes idées etc mais malheureusement vous verrez à la fin	_
le grand mammouth de l' école gagnera cinq à zéro contre le pauvre vincent peillon et ses grands	le grand mammouth de l' école gagnera cinq à zéro contre le pauvre vincent peillon et c' est grand	_
un j' ai envie de vous dire attendez un j' ai envie de vous dire attendez de voir le match parce que pour le moment on l' a pas vu	j' ai envie de vous dire attendez un j' ai envie de vous dire attendez de voir le match parce que pour le monde l' a pas vu	_
et deuxièmement après ce que vous avez dit j' espère que si par hasard il obtient quelques succès vous viendrez ici comme les journalistes sportifs dire on s' est trompé	deuxièmement après ce que vous avez dit j' espère que si par hasard il obtient quelques succès vous viendrait ici comme les journalistes sportifs dire on s' est trompé	_
(ren)dez vous dans six mois et j' espère me tromper	vous dans six mois j' espère me tromper	_
alors on va passer à cette photo de groupe dans le figaro magazine	on va passer à cette photo de groupe dans le figaro magazine	_
qui sont ces ces chefs d' entreprise guillaume	sont ces ces chefs d' entreprise guillaume	_
alors ce sont des entrepreneurs avec des profils très différents d' abord ce sont pas des p() des professionnels que vous avez l' habitude de voir comme comme laurence parisot par exemple et vous avez de là des gens qui ont très bien réussi dans la vie qui ont créé des entreprises qui sont aujourd' hui parfois cotées en bourse qui font de	ce sont des entrepreneurs avec des profils très différents d' abord se sont pas des des professionnels que vous avez l' habitude de voir comme comme laurence parisot par exemple et vous avez de la des gens qui ont très bien réussi dans la vie qui ont créé des entreprises qui sont aujourd' hui parfois cotées en bourse qui font	_
qui font plusieurs centaines de millions d' euros de chiffre d' affaire et vous avez aussi des auto entrepreneurs vous avez des gens qui ont créé leur emploi vous avez des jeunes de vingt cinq ans et	font plusieurs centaines de millions d' euros de chiffre d' affaires et vous avez aussi les auto entrepreneurs vous avez des gens qui ont créé leur emploi vous avez des jeunes de vingt cinq ans et	_
on on ce(tte) cette photo on l' a montée en deux jours en fait et on s' est dit on voudrait montrer que ça n' est pas un combat politique ce n' est pas les rentiers qui menacent de partir en suisse si on leur prend trop d' impôts c' est vraiment la la france qui crée qui se qui se révolte je vois pas d' autre	cette photo on la montée en deux jours en fait et on s' est dit on voudrait montrer que ça n' est pas un combat politique ce n' est pas les rentiers qui menace de partir en suisse si on reprend trop d' impôts c' est vraiment la la france qui crée qui se qui se révolte je ne vois pas d' autre	_
d' autres mots même si ça se fait dans la légalité la plus absolue donc ce sont les patrons qu' on ne voit pas c' est pas les patrons voyous c' est pas ceux ceux qui délocalisent c' est ceux qui bossent soixante heures par semaine pour essayer de créer de la richesse et qui aujourd' hui disent attention vous êtes en train de casser la machine	mot même si ça se fait dans la légalité la plus absolue donc ce sont les patrons qu' on ne voit pas c' est pas les patrons voyous c' est pas ce qui se qui délocalisent c' est ce qui bosse soixante heures par semaine pour essayer de créer de la richesse et qui aujourd' hui dix attention vous êtes en train de casser la machine	_
donc en fait ils emboîtent le pas des des pigeons ce mouvement	en fait ils emboîte le pas des des pigeons ce mouvement	_
fait en quelques jours bouger le le gouvernement sur la taxation des des plus values ce sont le des émules des pigeons	et en quelques jours bouger le gouvernement sur la taxation des plus values ce sont le des émules des pigeons	_
exactement d' ailleurs vous avez le leader le le président des pigeons entre guillemets qui est au premier rang	d' ailleurs vous avez le leader le le le président des pigeons entre guillemets qui est au premier rang	_
je peux dire un mot là dessus je je là aussi je vais encore casser l' ambiance je pense que la feu le fameux mouvement des pigeons nous a sacrément pigeonné alors je peux vous l' expliquer	peut dire un mot là dessus je je là aussi je vais encore cassé l' ambiance je pense que la f le fameux mouvement des pigeons nous a sacrément pigeonner alors je peux vous l' expliquez	_
d' abord je d' abord parce que et je ne parle pas de ceux qui sont sur la photo (n) parce que je ne les connais pas et je n' ai pas vu leur pedigree par contre j' ai vu le pedigree des fameux pigeons alors un	abord je d' abord parce que je ne parle pas ceux qui sont sur la photo hein parce que je ne les connaît pas et je n' ai pas vu leur pedigree par contre j' ai vu le pedigree des fameux pigeons alors un	_
certains sont membres de l' ump personne ne l' a dit	certains sont membres de l' ump personne ne l' a dit	_
pas le droit d' être membre de l' ump pas de délit de faciès laur(ent)	le revêtement de l' ump on va les élites fassiez attendez	_
certains sont exilés fiscaux on a oublié de le dire et ils viennent se plaindre des impôts en france alors qu' ils les payent plus depuis longtemps ça vous reconnaîtrez que j' ai pas tort	certains sont exilés fiscaux n' a oublié de le dire et ils viennent se plaint des impôts en france alors qu' il ne les paye plus depuis longtemps ça vous reprenez très que j' ai pas tort	_
(n) parce	parce que	_
(troisième)ment attendez troisièmement et vous et je vous laisserai répondre après	on attendait troisièmement et vous vous laisserez répondent après	_
leur combat n' était pas faux	combat n' était pas faux	_
simplement la mesure fiscale qu' ils dénonçaient n' avait aucune chance de s' appliquer à eux mais même quand ils ont obtenu gain de cause	la mesure fiscale qu' il dénonçait n' avait aucune chance de s' appliquer à eux mais même quand ils ont obtenu gain de cause	_
pas vraiment	pas vraiment	_
ça ne suffisait pas	ne suffisait pas	_
pas vraiment		_
ils ont demandé le retrait total de la mesure et vous savez pourquoi parce que la mesure créée par le gouvernement avec ses défauts ses problèmes de pédagogie d' explication encore une fois au grand tort du gouvernement cette mesure là elle ne s' appliquait pas à eux en priorité	ils ont demandé le retrait total de la mesure et vous savez pourquoi parce que la mesure créée par le gouvernement avec ses défauts ses problèmes de pédagogie d' explications encore une fois au grand hors du gouvernement cette mesure là elle ne s' appliquait pas en priorité	_
mais au fonds d' investissements qui fondent sur une entreprise qui licencie qui coupe les coûts et qui au bout de quelques mois les revendent en faisant une grosse plus value ces gens là oui il faut leur appliquer cette mesure mais comme ça ne leur suffisait pas ils ont demandé la la suppression totale de cette mesure	au fond d' investissement qui fonde sur une entreprise qui licencient qui couple les coûts et qui au bout de quelques mois les revendent en faisant une grosse plus value ces gens là où il faut leur appliquer cette mesure mais comme ça ne leur suffisait pas ils ont demandé la la suppression totale de cette mesure	_
et vous savez pourquoi parce que ces fameux entrepreneurs de start up	vous savez pourquoi parce que ces fameux entrepreneurs de start up	_
quand ils montent leur entreprise il faut trouver de l' argent et auprès de qui ils vont trouver cet argent auprès de ces fameux fonds spéculatifs	ils montent leurs entreprises il faut trouver de l' argent et auprès de qui l' ont trouvé cet argent auprès de ces fameux fonds spéculatifs	_
qui dans un cas aident l' entreprise et bravo et de (n) je	dans un cas de l' entreprise et bravo et de tous	_
je suis pas d' accord c' est formidab(le)	pas d' accord c' est formidable	_
pas que je mélange tout c' est l' exacte vérité	que je mélange tout c' est l' exacte vérité g	_
vous dire vous mélangez tout d' abord les exilés fiscaux là vous avez un ex exilé fiscal sur notre photo qui s' appelle denis payre qui était parti en belgique et qui est revenu et qui dit je suis en train de me demander si si quand tous les autres ont ricané parce que je revenais de belgique comme ren() pour me réinstaller en france	vous mélangé tout d' abord les exilés fiscaux là vous avez un ex exilé fiscal sur notre photo qui s' appelle denis père qui était parti en belgique et qui est revenu et qui dit je suis en train de me demander si si quand tous les autres ont ricané parce que je revenais de belgique comme reprend me réinstaller en france	_
si c' était pas effectivement moi le pigeon ensuite sur le fond on va entrer sur le débat technique cette idée que on puisse saucissonner en petits morceaux le monde de l' entreprise il y a	c' était pas effectivement moi le pigeon ensuite sur le fond on va rentrer sur le débat technique cette idée que on puisse saucissonner en petits morceaux le monde de l' entreprise il y a les	_
je continue je continue il y a le les les petits qui sont gentils parce que comme ils gagnent pas beaucoup d' argent et qu' ils travaillent énormément on a envie de les aimer il y a les patrons qui ont fait l' ena et qui sont à la tête du cac quarante avec leurs parachutes dorés ceux là on les aime pas vous avez le capital prêté par la belle soeur	continue à oui je continue il y a le les les petits qui sont gentils parce que comme il gagne pas beaucoup d' argent et qui travaille énormément on a envie de les aimer il y a les patrons qui ont fait l' ena et qui sont à la tête du cac40 avec leur parachute doré cela on les aime pas vous avez le capital prêtée par la belle soeur	_
pour créer une entreprise ça c' est gentil le fond d' investissement qui est méchant mais vous pouvez pas faire ça encore une fois n' entrons pas dans les détails mais ou bien vous dites ok la richesse elle se oui parce que les fonds d' investissement c' est ça veux dire	de créer une entreprise ça c' est gentil le fonds d' investissement qui est méchant mais vous pouvez pas faire ça encore une fois n' entre pas dans le détail mais ou bien vous dites auquel la richesse elle se oui parce que les fonds d' investissement c' est ça veut dire	_
(h) bon		_
les les fonds d' investissement c' est ce qui permet à une petite entreprise de prendre de l' importance et donc	et les fonds d' investissement c' est ce qui permet à une petite entreprise de prendre de l' importance et donc	_
côté dites le	dit le	_
mais le pro(blème) mais vous avez les deux l' autre cô(té)	le premier vous avez les deux l' autre côté	_
que ces gens veulent gagner de l' argent	ces gens veulent gagner de l' argent	_
si on		_
oui mais si on	mais si on	_
en une phrase c' est promis si on dit nous aimons l' entreprise sauf si elle gagne de l' argent on y arrivera pas	une phrase c' est promis si on dit nous aimons l' entreprise sauf si elle gagne de l' argent on y arrivera pas	_
bien j' aimerais qu' on change qu' on garde les oui mais on y reviendra claude je suis désolé mais je vais vous donner la parole tout de suite parce que je sens que vous avez envie de me parler de jean louis	j' aimerais qu' on change au qu' on garde les oui mais on y reviendra claude et je suis désolé mais je vais vous donner la parole tout suit parce que je sens que vous avez envie de me parler de josé	_
mais non c' est justement le	c' est justement	_
dans vos journaux il y a aussi jean louis borloo qui vient de créer un nouveau parti l' ud(i) l' udi union des démocrates et indépendants voilà il en est question dans plusieurs de vos journaux cette semaine le congrès fondateur du parti se tient ce dimanche l' udi est un train lancé	vos journaux il y a aussi jean louis borloo qui vient de créer un nouveau parti l' udi union des démocrates et indépendants voilà il en est question dans plusieurs de vos journaux cette semaine le congrès fondateur du parti se tient ce dimanche l' udi est un train lancé	_
à grande vitesse dit borloo	grande vitesse dix borloo	_
des voix	vous	_
elle sera elle sera dans dix huit mois la première force politique	elle sera elle sera dont dix huit mois la première force politique	_
il a fait une	il a fait	_
demande à claude de répéter son bon mot parce que je l' ai pas entendu donc borloo dit que l' udi sera dans dix huit mois la première force politique du pays alors c' était quoi la blague parce que moi j' aime bien les blagues de	claude de répéter son beau mot parce que j' ai pas entendu donc borloo dit que le uday sera dont dix huit mois la première force politique du pays alors c' était quoi la blague parce que moi j' aime bien les black	_
c' est trop tard (h) mais	est trop tard	_
(lan)cé sur les rails il a dit él(oignez) éloignez vous des voix	et sur les rails il a dit la loi dit vous des voix	_
bien c' est vrai c' est pas m(al)	c' est vrai c' est pas	_
pas mal j(e) trouve	pas mal	_
merci claude on l' aime aussi pour ça bon alors le vos votre avis sur sur l' udi est ce que il se pousse du col lui aussi borloo quand il dit que ce sera la la première force politique du pays dans dix huit mois	claude on aime aussi pour ça bon alors le vos vos traditions sur l' udi est ce que ils se poussent du col lui aussi borloo quand le il dit que ce sera la première force politique du pays dans dix huit mois	_
je de quoi de quoi s' autorise t il bon on peut toujours (n) il y a qu' à croire comme disent les enfants m(ais) mais je ça ne me paraît pas l' hypothèse la plus probable le l' année deux mille treize comme vous savez sera une année risque d' être une annus horribilis pour la france	de quoi être de quoi s' autorise style bon on peut toujours hein y a qu' à croire comme disent les enfants peuvent aimer je ça ne me paraît pas l' hypothèse la plus probable laver l' année deux mille treize commencer ce sera une année je risque d' être une annus horribilis pour la france	_
et peut être pour le gouvernement parce que quand on est au pouvoir dans ces circonstances là c' est jamais confortable l' année et on voit bien au au contraire que la droite est en train de se de se reconstruire sur une position très droitière en réalité et je ne suis pas du tout sûr que ça soit le le le	être pour le gouvernement parce que quand on est au pouvoir dans les vacances en cela s' est jamais confortable et on voit bien ou au contraire que la droite est en train de se de se reconstruire sur une position très droitière en réalité je ne suis pas du tout sûr que ça soit le le le	_
le printemps du centre qui s' annonce	printemps du centre qui s' annonce	_
alors de son côté marianne se demande si borloo peut tuer bayrou	de son côté marianne se demande si borloo peut tuer bayrou	_
le il provoque le béarnais en duel et et de l' issue de ce combat dépend la recomposition du paysage politique français	le il provoque le béarnais au duel et et de l' issue de ce combat dépend la recomposition du paysage politique français	_
il a	est	_
il a quand même deux soucis borloo d' abord c' est vrai qu' il a un boulevard politique jusqu' aux européennes après c' est fini la deuxième chose c' est que il a plutôt démontré jusqu' à présent qu' en politique il était un velléitaire on a vu ce qui s' est passé pendant la campagne présidentielle	a quand même deux soucis borloo d' abord c' est vrai qu' il a un boulevard politique jusqu' aux européennes après c' est fini la deuxième chose c' est que il est plutôt démontré jusqu' à présent qu' en politique il était un velléitaire puisqu' il s' est passé pendant la campagne présidentielle	_
j' y vais j' y vais j' y vais puis au dernier moment (h) je n' y vais pas puis il a un troisième problème	j baez givet puis au dernier moment à je ne vais pas appeal un troisième problème	_
dont on parle moins c' est que dans tous les sondages d' opinion il n' y a qu' un seul personnage politique qui incarne le centre	on parle moins c' est que dans tous les sondages d' opinion il n' y a qu' un seul personnage politique qui incarne le centre	_
ça peut nous déplaire mais c' est françois bayrou	peut nous déplaire mais c' est françois bayrou	_
et donc tout son travail à lui c' est de dire (n) non désormais c' est plus bayrou c' est moi	dont tous on travaille à lui c' est de dire ben non désormais c' est plus bayrou c' est moi	_
vous avez vu avec quelle difficulté bayrou et borloo n' arrivent pas à se rencontrer à se parler bayrou refuse de se mettre sur un pied d' égalité avec borloo il parle tous les quinze jours avec le président de la république	vous avez vu avec quelle difficulté bayrou et borloo n' arrive pas à se rencontrer à se parler bayrou refuse de se mettre sur un pied d' égalité avec borloo ils parlent tous les quinze jours avec le président de la république	_
françois bayrou tous les quinze jours	bateau tous les quinze jours	_
mais en revanche avec borloo il ne veut pas il ne se situe pas au même niveau	en revanche avec borloo il ne veut pas il ne se situe pas au même niveau	_
privé alors il il plaide b() ou en public il plaide pour un partenariat avec l' udi bayrou mais en en en privé il (en)fin il refuse de le rencontrer ça c' est sûr et il le qualifie en privé de pleutre	alors il plaide b ou en public il plaide pour un partenariat avec l' udi bayrou met en en privé fin il refuse de le rencontrer ça c' est sûr et ils le qualifient en privé de pleut	_
vous avez vu ce qu' il	vous avez vu ce qui	_
comment peut on faire confiance à un type dont le nom se termine par un double zéro	comment peut on faire confiance à un type dont le nom se termine par un double zéro	_
bien	et un	_
c' est sympa	pense	_
c' est c' est vraiment fini alors messieurs vous me faites je suis désolé mais dix secondes chacun sur borloo	c' est c' est vraiment fini alors messieurs vous me faites je suis désolé mais dix secondes chacun seront borloo	_
vingt secondes de politique politicienne jean louis borloo a un adversaire il c' est c' est françois fillon	seconde politique politicienne jean louis borloo à un adversaire c' est c' est françois fillon	_
parce que ils représentent un peu la même droite et projettez vous dans ce qui va se passer dans les années qui viennent il y a un nicolas sarkozy qui aura un adversaire françois fillon jean louis borloo	parce que il représente un peu la même droit est projeté vous êtes un ce qui va se passer dans les années qui viennent il y a un nicolas sarkozy qui aura à l' adversaire françois fillon jean louis borloo	_
qui fait un centre droit qui n' ira pas la volonté d' aller à la présidentielle parce qu' on sait bien que borloo ne l' aura pas ce serait un ralliement parfait pour sarkozy dans quatre ans	fait un centre droit qui n' ira pas la volonté d' aller à la présidentielle parce qu' on sait bien que borloo n' aura pas ce serait un ralliement parfait pour sarkozy l' enquête	_
là aussi c' est un risque que je prends laur(ent)	aussi c' est un risque je prends alors	_
mais je suis plutôt de votre avis mais c' est pas ce qui s' est passé pendant la campagne présidentielle	je suis plutôt de votre avis mais c' est pas ce qui s' est passé pendant la campagne présidentielle	_
si c' est		_
merci merci merci c' est terminé pour cette fois	merci merci c' est terminé pour cette fois	_
(h) (h) on se revoit la semaine prochaine je vous le propose	a on se revoit la semaine prochaine je vous propose	_
sera là	voilà	_
d' accord vous serez là	quand vous serez là	_
sûrement	roman	_
bon je je je compte sur vous merci à vous de nous avoir suivis je vous rappelle que cette émission vous vous pouvez la regarder en première diffusion le vendredi à vingt et un heures trente sur la chaîne parlementaire et la rediff c' est le samedi à midi et demi	je je je compte sur vous merci à vous de nous avoir suivi je vous rappelle que cette émission vous pouvez la regarder en première diffusion le vendredi vingt et un heures trente sur la chaîne parlementaire et l' a redit c' est le samedi à midi et demi	_
voilà bon week end dans l' immédiat et à très bientôt	bon week end dans l' immédiat et à très bientôt	_
ce que nous avons promis c' est que ce redressement se ferait	ce que nous avons promis et que ce redressement s' offrait	_
dans une volonté de justice avec un effort qui sera demandé d' abord à ceux qui ont plus et donc si je veux appuyer cette dynamique c' est parce que elle est rééquilibrée parce que il y a une réorientation de la politique européenne	une volonté de justice avec un effort qui sera demandé d' abord à ceux qui ont plus et donc si je veux appuyer cette dynamique c' est parce que elle est rééquilibrée parce que il y a une réorientation de la politique européenne	_
et je crois qu' on est en train d' entraîner l' europe sur une autre voie	je crois qu' on est en train d' entraîner l' europe sur une autre voie	_
christophe bor(gel)	sa mort	_
et soit on le pense alors dans ce cas là il faut appuyer cette dynamique soit on le conteste mais je crains qu' on ne revienne à la seule logique d' austérité qui était portée hier par madame merkel et monsieur sar(kozy)	soit on le pense alors dans ce cas là il faut appuyer ces dynamiques sont l' conteste mais je crains qu' on revienne à la seule logique d' austérité qui étaient portées hier par mme merkel et monsieur ça	_
christophe borgel en tout cas merci parce que vous étiez en direct de dijon à l' occasion de de ces journées parlementaires vous reviendrez débattre avec nous en plateau c' est beaucoup plus simple évidemment d' avoir vos interlocuteurs	christophe borgel en tout cas merci parce que vous étiez en direct de dijon à l' occasion de de ces journées parlementaires vous reviendrez débattre avec nous en plateau c' est beaucoup plus simple évidemment d' avoir vos interlocuteurs	_
avec plais(ir)		_
qui ne partagent pas complètement votre point de vue mais en tout cas merci merci d' avoir répondu à nos questions en direct florian philippot qu' est ce que vous répondez pour avancer un petit peu	est un partage pas complètement votre point de vue mais en tout cas merci merci d' avoir répondu à nos questions en direct florian philippot qu' est ce que vous répondez pour avancer un petit peu	_
parce que moi j' y comprends plus rien journaliste j' ai lu que françois hollande avait quand même fait avancer un certain nombre de points on a entendu des des des des chefs d' états parler de croissance de dire que	parce que moi j' y comprends plus rien journaliste j' ai lu que françois hollande avait quand même fait avant un certain nombre de points on a entendu des des des des chefs d' etat parlait de croissance de le dire que	_
infléchi ou est ce qu' il a	ici ou est ce qu' il a	_
vient du ministre des affaires européennes lui même	ministre des affaires européennes	_
énerve tout le monde	tout le monde	_
qui a dit nous nous sommes nous nous sommes trompés pendant la campagne nous n' aurions pas dû dire que nous allions renégocier le tr(aité) le traité mais tenter de le réorienter voilà donc ils ont avoué y a pas de renégociation mais au delà de ça	a dit nous nous sommes nous nous sommes trompés pendant la campagne nous n' aurions pas dû dire que nous allons renégocier le traité mais tenté de le réorienter voilà donc ils ont avoué il y a pas de renégociation mais au delà de ça	_
je voudrais quand même faire un bilan aussi parce qu' on nous dit toujours on nous promet toujours le coup d' après allez prenez ce traité il est pas terrible il est pas parfait mais vous verrez le suivant il sera parfait on nous a fait le coup depuis vingt ans tout de même (n) et demain l' europe sociale c' était le slogan du parti socialiste	voudrais quand même faire un bilan aussi parce qu' on nous dit toujours on nous promet toujours le coup d' après allez prenez ce traité il est pas terrible et pas parfait mais vous verrez le suivant il sera parfait on nous a fait le coup depuis vingt ans tout de même et demain l' europe sociale c' était le slogan du parti socialiste	_
